,Predicted Beta,Calculated Beta,Norms,Times,,,Average Time,Average Predicted Beta,Average Calculated Beta,Average Norm
127,34.44224759,41,0.802445363,62.33932543,,,,,,
128,34.39162708,46,0.962511225,79.10957456,,,,,,
129,34.35251069,46,1.159553498,80.37976241,,,,,,
130,34.57584517,43,0.909487637,66.01488066,,,,,,
131,34.38693857,40,0.776101291,58.12508011,,,,,,
132,34.28549283,48,1.20997242,103.149811,,,,,,
133,34.53571379,48,1.245024242,93.97737074,,,,,,
134,34.31570505,45,1.165850598,75.01981711,,,,,,
135,34.16949742,51,1.069174146,138.7875085,,,,,,
136,34.3001586,47,0.842251092,95.0632174,,,,,,
137,34.34126943,45,0.934254818,83.26542807,,,,,,
138,34.27850246,42,0.889649487,62.20303726,,,,,,
139,34.27391529,47,1.408121095,89.12825108,,,,,,
140,34.17564786,42,1.056726736,69.94454551,,,,,,
141,34.40459095,45,1.171590923,75.34322143,,,,,,
142,34.24321253,57,1.291420901,269.3769822,,,,,,
143,34.33195777,42,1.053261249,57.18444324,,,,,,
144,34.43332971,38,0.846261865,60.38715577,,,,,,
145,34.34670137,56,1.422746593,239.7732389,,,,,,
146,34.28778806,43,0.779108796,62.9986167,,,,,,
147,34.37860664,47,1.083214276,86.62998605,,,,,,
148,34.44264492,50,0.886913095,122.569346,,,,,,
149,34.3720795,53,1.450307351,169.3958635,,,,,,
150,34.18063111,34,0.957940613,51.77630067,,,,,,
151,34.17942978,51,0.844406202,135.3630357,,,,,,
152,34.34948201,46,1.079304343,82.13813663,,,,,,
153,34.10464996,47,1.136786728,88.30049753,,,,,,
154,34.25936716,49,1.379859836,103.4328291,,,,,,
155,34.34506057,56,1.169129982,218.9289856,,,,,,
156,34.45137266,44,1.104783254,60.07105255,,,,,,
157,34.50827276,48,1.099805464,87.246135,,,,,,
158,34.30545085,36,0.863333242,51.51648021,,,,,,
159,34.33828016,42,0.991719588,60.12002039,,,,,,
160,34.58682423,39,1.084323998,55.98482418,,,,,,
161,34.37354403,49,1.080419425,103.5887318,,,,,,
162,34.35642712,48,1.278504278,86.72670007,,,,,,
163,34.44025687,50,1.167971756,116.6032805,,,,,,
164,34.41215152,40,0.987748895,51.14933586,,,,,,
165,34.41220153,54,1.046261352,176.1134953,,,,,,
166,34.52040591,30,0.92278387,43.94923258,,,,,,
