,Predicted Beta,Calculated Beta,Norms,Times,,Average Norm,Average Pred Beta,Average Calc,Time Sum
209,45.20309165,38,1.409935052,74.08113885,,,,,
210,48.0055949,51,1.540663555,147.3091707,,,,,
211,48.59182286,45,1.578221671,87.3208921,,,,,
212,49.13667708,47,1.603725231,100.6828964,,,,,
213,46.76081754,45,1.48706611,84.66535163,,,,,
214,42.58188783,40,1.293577036,73.85711026,,,,,
215,49.56790853,48,1.623989614,109.6440969,,,,,
216,47.5300286,42,1.523033875,76.27502418,,,,,
217,50.81995281,41,1.693730382,77.50623703,,,,,
218,46.48044485,52,1.465142549,177.3230989,,,,,
219,47.31656275,48,1.510798185,106.8193254,,,,,
220,45.53848832,40,1.428036133,80.1371038,,,,,
221,51.92212037,51,1.755103902,154.4163806,,,,,
222,50.19079863,45,1.662422841,89.34061003,,,,,
223,48.75552777,48,1.585757666,116.9013369,,,,,
224,48.56409101,48,1.578155325,113.1357527,,,,,
225,51.4717843,48,1.729264,113.0924842,,,,,
226,34.32536136,43,0.999201846,80.75439191,,,,,
227,44.99068938,43,1.404095154,78.29565144,,,,,
228,39.30531812,35,1.167840226,71.41692066,,,,,
229,41.97570239,42,1.270084236,77.9564774,,,,,
230,45.82274089,38,1.444731856,74.05245566,,,,,
231,44.43435136,45,1.373145373,87.24651241,,,,,
232,50.39614518,48,1.667932893,113.8687081,,,,,
233,52.73909249,52,1.808195033,174.8616621,,,,,
234,50.85900382,44,1.701279051,88.10436749,,,,,
235,48.11704564,44,1.543299568,80.09288597,,,,,
236,50.86083475,52,1.697581421,175.5237553,,,,,
237,50.86542061,48,1.690523107,114.902627,,,,,
238,47.13410662,35,1.502040939,70.63148451,,,,,
239,57.19872782,46,2.086916822,97.03749776,,,,,
240,42.24627238,42,1.286418761,80.37874222,,,,,
241,46.77652051,41,1.483391372,82.05351782,,,,,
242,48.84140422,51,1.591794488,148.3815532,,,,,
243,46.33925209,39,1.468266904,76.4621532,,,,,
244,42.17445602,46,1.278694919,97.72191691,,,,,
245,38.63478099,34,1.146833043,58.0075171,,,,,
246,38.50424307,37,1.1371125,70.65155935,,,,,
247,51.52315707,46,1.743165485,90.31528306,,,,,
248,47.02288101,43,1.497863225,84.80480433,,,,,
249,51.35060342,50,1.725486106,137.1552651,,,,,
0,47.09000809,51,1.509132883,126.1090977,,,,,
1,49.61987026,44,1.63060789,74.85095215,,,,,
2,43.97074257,40,1.354383982,71.15833187,,,,,
3,40.43649332,45,1.211814782,81.32565904,,,,,
4,36.34251667,47,1.067005917,99.14898968,,,,,
5,48.05826671,44,1.546310806,77.46461868,,,,,
6,49.35443056,40,1.620341321,71.67032194,,,,,
7,51.53595487,49,1.735265663,110.9687946,,,,,
8,40.27715448,38,1.207203008,65.22957516,,,,,
9,41.88622284,36,1.266067638,67.48576403,,,,,
10,36.83280092,38,1.075435631,66.60675979,,,,,
11,47.84551729,41,1.543840175,74.7227962,,,,,
12,48.4236489,49,1.571999927,116.078841,,,,,
13,51.22649798,52,1.724381214,158.9377289,,,,,
14,40.76882845,42,1.222143031,78.29111171,,,,,
15,43.93158143,42,1.355796564,77.68704939,,,,,
16,41.50102134,44,1.251392502,80.20066571,,,,,
17,48.02375493,51,1.541617424,149.8998821,,,,,
18,50.47381037,50,1.678320885,137.6465118,,,,,
19,49.99748069,49,1.652507896,114.5152726,,,,,
20,48.8705183,47,1.593533721,89.85043573,,,,,
21,54.60053628,48,1.912945285,111.3937912,,,,,
22,44.97453728,47,1.398592398,100.7082417,,,,,
23,48.19570233,48,1.552119074,106.5193195,,,,,
24,50.06084142,46,1.647623363,90.42013168,,,,,
25,48.27175532,51,1.556821167,148.8172369,,,,,
26,45.83386283,44,1.44237784,80.02982545,,,,,
27,51.15328228,52,1.71525788,170.5630476,,,,,
28,51.30429889,54,1.72447744,199.6196222,,,,,
29,45.08702879,46,1.413658409,92.53005409,,,,,
30,51.32833429,45,1.72993522,86.71636057,,,,,
31,47.51685764,49,1.515897296,126.5009599,,,,,
32,42.65000211,39,1.298767546,73.81078315,,,,,
33,45.82085497,45,1.441717882,88.97187948,,,,,
34,54.10674778,51,1.896029348,140.6686561,,,,,
35,46.49093945,46,1.477242785,88.81110072,,,,,
36,41.30797228,38,1.245463141,73.84763145,,,,,
37,35.16563352,41,1.025603199,76.65245891,,,,,
38,45.91881184,51,1.450267304,147.9089863,,,,,
39,41.27128921,43,1.245911537,76.40307474,,,,,
40,52.92665663,38,1.810768347,72.00632811,,,,,
41,41.93556293,40,1.269502787,75.01988316,,,,,
42,51.49608329,46,1.73039664,95.13618731,,,,,
43,45.85105735,41,1.445593746,74.06553292,,,,,
44,45.21976822,42,1.413612965,75.37494659,,,,,
45,49.51172965,46,1.632583755,93.78945518,,,,,
46,49.6432552,44,1.636986343,81.69286323,,,,,
47,47.36850004,48,1.517584233,112.0875065,,,,,
48,45.01434036,48,1.400857456,113.8788176,,,,,
49,43.4099512,39,1.329661298,71.61068368,,,,,
50,48.79999228,52,1.583751061,173.225518,,,,,
51,42.92823578,45,1.307570956,87.38439345,,,,,
52,46.24379913,41,1.460064321,71.60096264,,,,,
53,49.25964506,45,1.616496112,87.95943928,,,,,
54,45.59769711,45,1.436099541,87.81831884,,,,,
55,39.83942011,41,1.185961007,73.7973032,,,,,
56,43.38129522,42,1.336195893,71.25439715,,,,,
57,45.79286108,43,1.437080727,79.8960259,,,,,
58,53.20114303,43,1.835991773,79.37632084,,,,,
59,50.99939997,46,1.701195382,96.45407557,,,,,
60,42.01852589,42,1.274243792,79.96055198,,,,,
61,50.98300416,51,1.704091489,151.8960509,,,,,
62,49.6780568,48,1.635691186,117.0142405,,,,,
63,49.79211936,41,1.635928343,76.35386753,,,,,
64,45.89959378,44,1.44408088,85.12096429,,,,,
65,49.67800905,47,1.637920752,102.7249753,,,,,
66,47.18107686,52,1.503824442,170.3178461,,,,,
67,47.8860861,45,1.545741299,92.55126476,,,,,
68,51.17713903,49,1.712611455,125.0925241,,,,,
69,49.39800261,48,1.620617584,106.1120369,,,,,
70,41.83818376,45,1.272196202,84.4629364,,,,,
71,47.86965546,44,1.537672363,80.84855485,,,,,
72,43.52391481,42,1.330338181,75.2287066,,,,,
73,45.7572959,34,1.433882356,1688.548075,,,,,
74,52.18179964,46,1.774140887,94.83285546,,,,,
75,47.94695309,36,1.547544857,69.95136666,,,,,
76,41.61024905,41,1.255239997,75.37825322,,,,,
77,50.08203354,45,1.658606131,88.68221307,,,,,
78,53.50752033,52,1.840162499,173.7806308,,,,,
79,43.57024455,45,1.329975486,83.86524296,,,,,
80,53.58780307,53,1.848563783,176.6567092,,,,,
81,43.80856423,49,1.343544354,125.0226259,,,,,
82,48.0535723,51,1.551551309,134.8274934,,,,,
83,43.08820978,38,1.311373815,72.6432507,,,,,
84,50.66073619,51,1.687775596,151.9938431,,,,,
85,51.74402573,49,1.752456138,128.2188318,,,,,
86,50.15830094,49,1.664805589,126.4449353,,,,,
87,46.56764869,49,1.476071625,127.7276003,,,,,
88,48.43798082,48,1.571568929,110.448864,,,,,
89,49.70865601,39,1.638128417,72.32160807,,,,,
90,49.60416805,48,1.623522992,114.4139187,,,,,
91,49.21230987,48,1.609603215,113.6818261,,,,,
