,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,Average EBDD Normal Predicted Beta,Average EBDD Probabilistic Predicted Beta,Average EBDD Calculated Beta,Average EBDD Norm,Average Kannan Normal Predicted Beta,Average Kannan Probabilistic Predicted Beta,Average Kannan Calculated Beta,Average Kannan Norm,Total Time
84,22.46989083,27.21733493,34,1.383306458,33.43828415,32.62192711,28,0.9265625,61.79420495,,,,,,,,,,
85,22.2756519,27.1071956,38,1.389510542,33.4382842,32.62192714,32,0.93203125,67.01488066,,,,,,,,,,
86,23.06489713,27.56018842,37,1.453967916,33.4382844,32.62192725,39,0.940625,70.94016099,,,,,,,,,,
87,23.03493185,27.54255093,37,1.55639764,33.43828435,32.62192722,38,1.07734375,70.62211227,,,,,,,,,,
88,21.97499068,26.93806507,38,1.818700522,33.43828426,32.62192717,43,1.0921875,80.17281795,,,,,,,,,,
89,22.5395381,27.25695424,33,1.403164038,33.4382844,32.62192725,28,0.939453125,62.04002404,,,,,,,,,,
90,23.58838248,27.87060349,28,0.958827272,33.43828423,32.62192715,27,0.64609375,58.82115698,,,,,,,,,,
91,23.83915547,28.02085088,43,1.492674509,33.43828426,32.62192717,31,1.0484375,73.59854436,,,,,,,,,,
92,22.6927203,27.34535038,38,1.485273303,33.43828424,32.62192716,36,1.06875,71.4733448,,,,,,,,,,
93,22.20562085,27.06761386,36,1.656274227,33.4382844,32.62192725,38,1.098046875,71.05437446,,,,,,,,,,
94,22.2554921,27.09579428,40,1.754616081,33.43828441,32.62192726,41,1.26015625,80.56657457,,,,,,,,,,
95,23.11347752,27.58881278,44,1.556377614,33.43828431,32.6219272,44,1.0703125,87.5359695,,,,,,,,,,
96,21.73257873,26.80548064,34,1.493884079,33.43828426,32.62192717,28,0.8421875,62.12314177,,,,,,,,,,
97,22.3078943,27.12544188,45,1.445554462,33.43828442,32.62192726,28,0.915625,72.81517982,,,,,,,,,,
98,22.20288193,27.06606719,46,1.848578471,33.4382842,32.62192714,38,1.06875,84.51729083,,,,,,,,,,
99,23.10316988,27.58273624,23,1.299791897,33.43828431,32.6219272,30,0.9125,57.15409207,,,,,,,,,,
100,22.31229905,27.12793569,43,1.667803499,33.43828446,32.62192729,32,1.0796875,72.47600293,,,,,,,,,,
101,23.98558827,28.10904772,36,1.303024017,33.43828434,32.62192721,28,0.918359375,64.31062555,,,,,,,,,,
102,22.77255938,27.39111393,38,1.660609597,33.43828426,32.62192717,41,1.1796875,76.07339144,,,,,,,,,,
103,23.12797155,27.59736011,42,1.38128352,33.43828438,32.62192724,23,0.9109375,67.69761372,,,,,,,,,,
104,23.04818007,27.55034705,43,1.543376013,33.43828431,32.6219272,34,1.11796875,73.1054883,,,,,,,,,,
105,21.15823351,26.49342622,37,1.577690091,33.43828428,32.62192718,33,1.069140625,68.02703285,,,,,,,,,,
106,22.21217834,27.0713173,29,1.181147758,33.43828442,32.62192726,22,0.823046875,55.77629375,,,,,,,,,,
107,22.37163544,27.16155591,35,1.610179737,33.43828453,32.62192733,41,1.13515625,75.82007933,,,,,,,,,,
108,22.43636731,27.1982888,40,1.371806605,33.43828432,32.62192721,38,0.901953125,97.22678208,,,,,,,,,,
109,21.72907347,26.80356909,37,1.330647565,33.43828437,32.62192724,30,0.8296875,101.6069801,,,,,,,,,,
110,23.18689748,27.63214371,28,1.150824612,33.43828431,32.6219272,34,0.865625,98.36277437,,,,,,,,,,
111,22.3805765,27.16662617,38,1.727033087,33.43828429,32.62192719,37,0.9578125,114.9798591,,,,,,,,,,
112,22.37336548,27.16253689,29,1.106283849,33.43828451,32.62192731,32,0.741796875,100.0213184,,,,,,,,,,
113,22.92566244,27.47914017,33,1.217414176,33.4382843,32.62192719,30,0.85546875,101.8682244,,,,,,,,,,
114,22.79100517,27.40170061,40,1.618987665,33.43828436,32.62192723,44,1.105078125,128.2562399,,,,,,,,,,
115,22.23645035,27.08503043,35,1.544328945,33.43828423,32.62192715,34,0.94453125,100.8560674,,,,,,,,,,
116,22.69269572,27.34533631,44,1.562254556,33.4382844,32.62192725,37,0.951171875,120.1776843,,,,,,,,,,
117,23.22092027,27.65225214,40,1.694247313,33.43828439,32.62192724,39,0.99921875,112.4583662,,,,,,,,,,
118,22.19747736,27.06301553,31,1.137033643,33.43828439,32.62192725,32,0.759765625,93.18770552,,,,,,,,,,
