,Predicted Beta,Calculated Beta,Norms,Times,Average Predicted Beta,Average Calculated Beta,Average Norms,Average Times
379,39.12843148,41,63.93571429,65.47559381,,,,
380,46.41707612,43,75.96428571,72.57333994,,,,
381,41.97121423,46,47.81428571,84.03678918,,,,
382,49.98082173,45,88.75,78.6891036,,,,
383,49.82028771,49,73.35714286,112.59185,,,,
384,42.98571413,36,77.92142857,57.13238025,,,,
385,39.71708589,40,56.15,55.71717477,,,,
386,43.88910257,37,73.37857143,58.15204239,,,,
387,35.06037511,45,49.85,78.10629153,,,,
388,49.7755455,57,85.90714286,277.1471624,,,,
389,41.19127929,47,43.35714286,91.07792878,,,,
390,44.11636504,43,65.87857143,70.51207042,,,,
391,46.64587861,40,102.05,64.00101304,,,,
392,47.32125261,38,55.17857143,58.77237201,,,,
393,42.88464807,33,60.51428571,55.60813475,,,,
394,44.86239127,45,40.45,78.25276303,,,,
395,40.42749472,42,61.57857143,62.2767303,,,,
396,48.73817816,46,68.96428571,81.54554701,,,,
397,43.72582666,35,68.75,58.48544669,,,,
398,46.64587864,39,67.96428571,61.66331363,,,,
399,43.72582646,31,59.48571429,52.3776927,,,,
400,38.95994221,37,54.21428571,60.60929108,,,,
401,42.22526662,43,60.38571429,70.12341189,,,,
402,39.65363379,48,56.92142857,100.0836847,,,,
403,39.50082341,44,30.51428571,72.8666873,,,,
404,44.65107928,40,69.68571429,66.43871093,,,,
405,43.16411308,43,55.16428571,71.57500362,,,,
406,37.65447648,39,55.32857143,60.94459558,,,,
407,38.46114649,35,61.88571429,60.88556767,,,,
408,34.84544813,42,47.95,70.38102174,,,,
409,44.38488289,47,70.97142857,88.70443463,,,,
410,42.00615997,40,48.11428571,69.70865488,,,,
411,41.39405147,42,54.71428571,72.41418362,,,,
412,39.96961895,35,67.67857143,51.69795513,,,,
413,37.68181995,43,60.49285714,71.09668517,,,,
414,51.19661075,41,47.75714286,71.00258756,,,,
415,37.89972379,42,43.51428571,69.94365001,,,,
416,44.80969908,46,53.46428571,85.11139202,,,,
417,42.54534931,48,66.51428571,98.96756744,,,,
418,41.70163596,44,53.52142857,76.73384404,,,,
419,46.3070436,35,86.22857143,57.93164349,,,,
420,42.45423532,48,38.83571429,96.33319831,,,,
421,40.3168068,35,73.38571429,56.66999316,,,,
422,49.12393137,50,81.77142857,127.2413239,,,,
423,35.64473402,35,63.43571429,53.5896132,,,,
424,42.01773077,38,58.04285714,62.81995916,,,,
425,46.11605345,47,81.60714286,89.62883449,,,,
426,37.84538809,31,52.67142857,53.59680223,,,,
427,40.91473072,42,62.35714286,67.34696436,,,,
428,40.24279536,41,70.90714286,65.73862791,,,,
429,46.00493518,45,87.15714286,81.81482601,,,,
430,39.81834331,45,52.19285714,77.43509579,,,,
431,43.10848712,44,62.87142857,70.88603592,,,,
432,45.79212628,42,75.08571429,68.44996929,,,,
433,44.51294437,47,76.00714286,90.2850275,,,,
434,48.46923909,51,67.12857143,143.4273796,,,,
435,43.6383903,34,98.04285714,57.98459148,,,,
436,37.72279116,44,61.48571429,72.18435001,,,,
437,44.95701074,42,79.82857143,68.90955997,,,,
438,46.25689771,50,76.10714286,122.4866419,,,,
439,47.24383004,50,104.8214286,126.3267515,,,,
440,38.51402494,43,64.35,70.62702918,,,,
441,46.06559484,49,55.29285714,115.1925545,,,,
442,44.37418699,44,79.87142857,71.17030525,,,,
443,41.14337505,39,60.17142857,58.21621585,,,,
444,47.02014356,41,104.35,66.24523997,,,,
445,46.45699049,42,82.53571429,67.55000424,,,,
446,30.88666231,33,48.02142857,54.92474484,,,,
447,43.38561735,50,82.11428571,130.9779143,,,,
448,40.14383829,37,48.99285714,61.13043332,,,,
449,44.2670237,39,82.23571429,63.89997101,,,,
450,44.73577812,48,73.45714286,98.06888556,,,,
451,43.56167901,43,55.92857143,71.89500356,,,,
452,43.96500245,42,120.9428571,67.55220485,,,,
