,Predicted Beta,Calculated Beta,Norms,Times,,,,,AVG Pred,AVG Calc,AVG Norm,MAX Pred,Total Time Hr
303,36.77088701,35,0.936771579,37.10892367,,,,,,,,,
304,36.94300664,41,0.81597897,41.74606538,,,,,,,,,
305,34.84698818,42,0.941825272,43.18744016,,,,,,,,,
306,29.77829405,31,0.795466118,34.26692891,,,,,,,,,
307,37.551405,35,1.025642888,37.1813488,,,,,,,,,
308,36.47001299,33,0.917532916,35.82943225,,,,,,,,,
309,37.44566495,32,0.896285237,36.76169848,,,,,,,,,
310,36.6658697,41,0.876462622,49.73367047,,,,,,,,,
311,35.67816021,26,0.856083848,47.20878577,,,,,,,,,
312,40.78695144,43,1.141018974,61.30432248,,,,,,,,,
313,25.99762194,29,0.672889277,43.68742394,,,,,,,,,
314,39.82963039,33,1.236828992,47.79580188,,,,,,,,,
315,28.77794631,28,0.815653701,46.08967543,,,,,,,,,
316,48.84197022,35,1.711606646,52.25644207,,,,,,,,,
317,38.18287801,38,1.055963208,55.6959095,,,,,,,,,
318,40.88219291,42,1.279931515,58.75953412,,,,,,,,,
319,42.43277304,39,1.425266917,55.36747766,,,,,,,,,
320,26.78529974,29,0.624473462,45.71107292,,,,,,,,,
321,35.08425271,39,0.924037021,56.49023509,,,,,,,,,
322,35.6506685,29,0.883362851,44.49614882,,,,,,,,,
323,35.36292451,28,0.997361516,44.30578065,,,,,,,,,
324,29.95906967,28,0.902381919,43.86232448,,,,,,,,,
325,38.07659155,44,1.011192207,61.82659793,,,,,,,,,
326,42.52992963,46,1.247698691,74.06619048,,,,,,,,,
327,37.56193919,37,0.939783576,52.84973526,,,,,,,,,
328,36.50808753,24,0.957312835,40.85468578,,,,,,,,,
329,41.38393874,38,1.289418602,52.90445781,,,,,,,,,
330,44.26765532,38,1.317031117,57.04026675,,,,,,,,,
331,41.39138252,35,1.196945237,49.71134686,,,,,,,,,
332,40.37031719,37,1.131266178,51.1009419,,,,,,,,,
333,30.35538874,36,0.811708053,51.40322161,,,,,,,,,
334,28.84034352,29,0.860359342,43.1226685,,,,,,,,,
335,31.98547993,23,0.881104921,40.42301798,,,,,,,,,
336,38.56633688,45,0.986904128,69.13817358,,,,,,,,,
337,31.1717184,29,0.802410018,44.13572454,,,,,,,,,
338,37.32930241,40,1.155436671,54.65753078,,,,,,,,,
339,35.45016838,40,0.936121658,54.4628737,,,,,,,,,
340,39.43371075,34,1.156735598,47.75685024,,,,,,,,,
341,34.61464454,40,0.782199528,57.65975714,,,,,,,,,
342,34.94964592,30,0.904976721,45.73336387,,,,,,,,,
343,36.16160488,38,1.063175873,54.97481179,,,,,,,,,
344,39.48518668,43,1.322004482,60.54515004,,,,,,,,,
345,36.9058883,35,0.849285018,50.20274806,,,,,,,,,
346,34.44941612,39,0.962107841,55.11223149,,,,,,,,,
347,37.16570097,28,1.018548418,42.19636774,,,,,,,,,
348,21.43964236,27,0.507045906,42.95282173,,,,,,,,,
349,38.54370015,32,1.065718753,44.75973201,,,,,,,,,
350,43.94736081,46,1.131083845,69.52245617,,,,,,,,,
351,45.9512929,49,1.475205529,99.11823559,,,,,,,,,
352,35.01685024,36,1.059892666,51.88112807,,,,,,,,,
353,38.47385865,43,1.044453972,60.88627934,,,,,,,,,
354,36.00400815,31,0.857799971,45.01932716,,,,,,,,,
355,36.85938142,36,1.13872409,50.99658322,,,,,,,,,
356,36.59020747,40,0.789482744,55.30540037,,,,,,,,,
357,43.91034938,47,1.346017689,82.10103559,,,,,,,,,
358,37.94431513,37,0.902664428,51.80657387,,,,,,,,,
359,28.97379444,33,0.792430909,48.59495926,,,,,,,,,
360,36.3415513,43,1.008248012,62.79510283,,,,,,,,,
361,39.96835946,36,1.08554992,51.40771794,,,,,,,,,
362,40.1326401,41,1.091649656,57.05230904,,,,,,,,,
363,44.91002299,42,1.405717345,60.85933614,,,,,,,,,
364,39.15238268,40,1.21898699,56.68927312,,,,,,,,,
365,29.63397137,41,0.721428479,55.45205784,,,,,,,,,
366,43.19741658,50,1.301014575,126.3490119,,,,,,,,,
367,36.85762765,32,1.116465491,65.73918939,,,,,,,,,
368,39.58063419,33,1.162507014,48.77278543,,,,,,,,,
369,31.83111632,28,0.781580452,44.70734,,,,,,,,,
370,37.4176953,39,1.049514383,56.67532182,,,,,,,,,
371,39.02486186,44,1.039859928,62.14931369,,,,,,,,,
372,26.09508561,29,0.68515258,46.49265647,,,,,,,,,
373,34.4833208,32,0.85958695,47.74168897,,,,,,,,,
374,39.86587286,47,1.05616539,94.44273257,,,,,,,,,
375,46.60029117,52,1.531966487,151.6749911,,,,,,,,,
376,35.92428369,28,0.800984346,66.53307366,,,,,,,,,
377,37.37164905,42,1.017258043,66.15592861,,,,,,,,,
378,36.90794828,32,1.068197191,49.69396806,,,,,,,,,
379,25.59587595,25,0.820651197,40.24579024,,,,,,,,,
380,39.17853193,45,1.134627261,68.36554337,,,,,,,,,
381,40.13910635,35,1.110223431,49.42487335,,,,,,,,,
382,36.48405532,41,0.895381822,56.31667495,,,,,,,,,
383,51.34986877,52,1.836745303,153.822541,,,,,,,,,
384,40.66272851,43,0.966892156,65.33076715,,,,,,,,,
385,45.78867587,41,1.006978711,59.35162044,,,,,,,,,
386,41.54479501,35,1.323451843,48.19581389,,,,,,,,,
387,41.68746142,46,1.350008844,74.0275166,,,,,,,,,
388,32.59120223,35,0.978250822,50.77823973,,,,,,,,,
389,24.70886021,29,0.704102016,44.40299201,,,,,,,,,
390,33.75151871,29,0.860457992,44.22856855,,,,,,,,,
391,36.60393973,41,1.012321324,56.56150723,,,,,,,,,
392,30.99793273,34,0.905289769,50.62840152,,,,,,,,,
393,29.5214805,40,0.77051651,55.59651423,,,,,,,,,
394,45.92707932,43,1.496699374,62.04699326,,,,,,,,,
395,39.64778991,44,1.057500968,62.72140288,,,,,,,,,
396,38.46908054,23,0.949908978,40.34925294,,,,,,,,,
397,41.07087938,43,1.102310145,59.46172547,,,,,,,,,
398,36.83636744,30,0.883972456,45.26300001,,,,,,,,,
399,31.81961515,29,0.898541027,45.27408552,,,,,,,,,
400,36.19426647,36,0.956385901,51.1412549,,,,,,,,,
401,40.46763232,43,1.155731089,61.42664576,,,,,,,,,
402,34.63639402,36,0.96040943,52.19346833,,,,,,,,,
403,29.68521792,20,0.820135658,44.58382297,,,,,,,,,
404,33.54396844,41,0.854278544,61.63136292,,,,,,,,,
405,35.93776608,30,0.958356131,45.19567037,,,,,,,,,
406,33.78125149,34,0.910344073,47.69861555,,,,,,,,,
407,40.75813725,42,1.376442765,59.94520354,,,,,,,,,
408,40.84592199,37,1.097038389,49.86339021,,,,,,,,,
409,39.14905556,33,0.94567563,47.0989809,,,,,,,,,
410,42.96639638,38,1.298635702,53.89979839,,,,,,,,,
411,33.97961309,37,0.956030704,51.93714547,,,,,,,,,
412,40.65739261,45,0.993944845,68.43722081,,,,,,,,,
413,32.62619746,40,0.829726891,54.86877251,,,,,,,,,
414,40.93088239,35,1.1119252,48.93012404,,,,,,,,,
415,37.70498701,41,1.037820981,64.10895181,,,,,,,,,
416,32.39271216,43,0.783626728,62.52458358,,,,,,,,,
417,37.43105539,43,1.047385034,60.84220171,,,,,,,,,
418,37.20072029,30,1.078649998,43.9872098,,,,,,,,,
419,43.59868539,41,1.306810424,58.28759694,,,,,,,,,
420,23.3465916,37,0.661144871,60.40852857,,,,,,,,,
421,34.53946549,39,1.001391459,65.99865866,,,,,,,,,
422,38.05356885,36,1.061242293,58.34112692,,,,,,,,,
423,29.59675829,30,0.668741748,47.38320255,,,,,,,,,
424,40.79134318,28,1.254590366,47.607306,,,,,,,,,
425,43.71236069,40,1.316798392,63.19557261,,,,,,,,,
426,37.78767644,42,1.152290294,60.45259356,,,,,,,,,
427,32.27262511,29,0.743269883,44.03154397,,,,,,,,,
428,35.16430913,35,0.970587059,51.6749301,,,,,,,,,
429,51.66277487,41,1.4599736,80.1213789,,,,,,,,,
430,36.83440372,43,0.981995508,71.57202315,,,,,,,,,
431,29.64910418,33,0.776679162,48.33096528,,,,,,,,,
432,37.0771952,38,1.055563115,53.33525658,,,,,,,,,
433,37.6043639,34,0.968173981,49.96530247,,,,,,,,,
434,32.65881372,19,0.682178148,38.51790571,,,,,,,,,
435,41.28598968,39,1.24543557,54.72242332,,,,,,,,,
436,41.9433004,47,1.287627957,85.33164597,,,,,,,,,
437,39.90782169,41,1.031015127,58.20724487,,,,,,,,,
