,Predicted Beta,Calculated Beta,Norms,Times,,Average Pred,Average Calc,Avg Norm,Max Calc
93,34.0564318,35,1.01796875,31.93851805,,,,,
94,28.40307445,27,0.871484375,26.51153016,,,,,
95,32.26723999,29,0.9671875,27.19646335,,,,,
96,29.55447965,30,0.898046875,27.14519334,,,,,
97,30.20198278,32,0.913671875,27.97344232,,,,,
98,33.32954449,26,0.996875,24.78030682,,,,,
99,29.48849077,37,0.896484375,31.63545179,,,,,
100,24.42483286,16,0.79296875,25.91250682,,,,,
101,35.34541208,32,1.05703125,33.7467308,,,,,
102,30.54627156,34,0.922265625,36.68931103,,,,,
103,24.98474327,30,0.809765625,33.26710629,,,,,
104,38.62944529,38,1.16640625,40.9983027,,,,,
105,33.72211765,38,1.008203125,39.32761168,,,,,
106,33.68171177,28,1.00703125,32.37648726,,,,,
107,31.52101959,38,0.947265625,40.30800247,,,,,
108,25.57878605,27,0.81953125,35.41837573,,,,,
109,38.78321511,27,1.171875,27.53358483,,,,,
110,31.87713392,40,0.956640625,35.85079622,,,,,
111,28.1764331,32,0.86640625,30.39563394,,,,,
112,36.12284475,32,1.081640625,29.98232746,,,,,
113,29.17346516,40,0.8890625,35.73743916,,,,,
114,29.47197556,36,0.89609375,33.6482234,,,,,
115,29.33959464,22,0.89296875,24.36382651,,,,,
116,32.42379742,19,0.971484375,23.2349174,,,,,
117,29.71895056,32,0.901953125,34.68217349,,,,,
118,32.90335883,33,0.984765625,36.11046529,,,,,
119,38.69543482,31,1.16875,34.03876495,,,,,
120,25.72356675,30,0.821875,35.48922276,,,,,
121,27.10737418,28,0.845703125,31.64565325,,,,,
122,40.26511328,39,1.226171875,40.22362089,,,,,
123,30.96444992,39,0.9328125,39.75960326,,,,,
124,34.4630491,33,1.030078125,34.84127378,,,,,
125,36.03785756,35,1.07890625,36.76253676,,,,,
126,24.59534944,32,0.798046875,34.18675709,,,,,
127,43.89825274,41,1.372265625,42.55001807,,,,,
128,29.37273334,26,0.89375,31.9491365,,,,,
129,31.1462997,29,0.9375,31.63895535,,,,,
130,33.15211309,28,0.991796875,31.74666309,,,,,
131,31.74400147,27,0.953125,31.29181695,,,,,
132,32.43799563,43,0.971875,44.19482183,,,,,
133,40.51235756,38,1.235546875,39.34914303,,,,,
134,42.51564193,40,1.314453125,41.23294711,,,,,
135,31.81802423,43,0.955078125,46.34923148,,,,,
136,32.45218756,29,0.972265625,32.42698407,,,,,
137,33.58724789,40,1.004296875,40.67666459,,,,,
138,34.04323468,39,1.017578125,38.93625069,,,,,
139,27.56697544,41,0.854296875,41.70952988,,,,,
140,34.06962387,44,1.018359375,45.71785522,,,,,
141,30.13903697,37,0.912109375,38.24574018,,,,,
142,37.66607918,38,1.1328125,40.32587504,,,,,
143,26.77893541,32,0.83984375,34.43218088,,,,,
144,31.10107071,26,0.936328125,32.15056634,,,,,
145,31.16136288,43,0.937890625,47.20933819,,,,,
146,36.26803845,40,1.086328125,42.75371957,,,,,
147,29.66968425,39,0.90078125,41.95830154,,,,,
148,35.68117348,31,1.067578125,35.01343226,,,,,
149,35.79235689,35,1.07109375,39.31211019,,,,,
150,38.56332347,42,1.1640625,47.88623166,,,,,
151,29.93170135,28,0.90703125,33.57936239,,,,,
152,34.68400786,40,1.03671875,42.90149879,,,,,
153,30.28051376,36,0.915625,32.71911621,,,,,
154,39.20706463,34,1.187109375,31.19196916,,,,,
155,40.04721917,42,1.21796875,37.75544858,,,,,
156,38.85983128,45,1.174609375,43.61039042,,,,,
157,23.13275137,33,0.755859375,30.17861199,,,,,
158,27.89833572,27,0.860546875,27.01166034,,,,,
159,24.37214673,32,0.79140625,29.6404469,,,,,
160,34.45000701,37,1.0296875,36.34396029,,,,,
161,42.29491339,38,1.30546875,37.14146399,,,,,
162,24.97185442,32,0.809375,29.81032562,,,,,
163,34.89067985,35,1.04296875,38.86441183,,,,,
164,31.37159709,28,0.943359375,26.82486248,,,,,
165,39.40049591,41,1.194140625,36.92900562,,,,,
166,28.28120142,31,0.86875,29.24940586,,,,,
167,25.06877382,29,0.811328125,28.21012163,,,,,
168,23.34187214,35,0.76171875,32.47323275,,,,,
169,37.66607949,35,1.1328125,36.29810596,,,,,
170,34.82622806,36,1.041015625,32.82017279,,,,,
171,32.38116859,36,0.9703125,32.77113843,,,,,
172,34.61916717,33,1.034765625,30.33423686,,,,,
173,35.10712167,43,1.049609375,40.05327535,,,,,
174,38.33084265,42,1.155859375,38.43373466,,,,,
175,35.66879726,36,1.0671875,33.47365594,,,,,
176,36.81886907,31,1.104296875,29.59233069,,,,,
177,34.47608581,32,1.03046875,29.93052578,,,,,
178,31.46132459,35,0.945703125,32.24238038,,,,,
179,36.54458344,39,1.0953125,35.11816955,,,,,
180,36.9965517,44,1.11015625,41.08505154,,,,,
181,44.86133857,40,1.4140625,36.72580528,,,,,
182,36.0256987,30,1.078515625,28.47961593,,,,,
183,36.68796866,34,1.1,31.19479179,,,,,
184,24.3457645,24,0.790625,25.7149694,,,,,
185,34.64511744,36,1.035546875,32.74695563,,,,,
186,29.91537823,28,0.906640625,27.83159041,,,,,
187,33.47897425,35,1.001171875,32.01165485,,,,,
188,33.82963742,42,1.011328125,38.23050427,,,,,
189,34.29311716,42,1.025,38.36434388,,,,,
190,38.39743365,34,1.158203125,31.15137553,,,,,
191,24.26646116,27,0.78828125,26.87811542,,,,,
192,28.36829255,29,0.870703125,28.08673215,,,,,
193,39.30392289,40,1.190625,36.03465056,,,,,
194,38.20840767,35,1.1515625,32.09855938,,,,,
195,34.94215438,36,1.04453125,32.95754647,,,,,
196,42.6683045,44,1.320703125,41.13421202,,,,,
197,38.15260434,32,1.149609375,29.81898212,,,,,
198,34.68400772,34,1.03671875,31.98489189,,,,,
199,35.87858139,35,1.073828125,31.83374715,,,,,
200,24.79075587,30,0.80390625,29.04231,,,,,
201,30.88736746,31,0.930859375,29.11642861,,,,,
202,36.61635252,35,1.09765625,32.0046978,,,,,
203,33.84305409,39,1.01171875,35.28593588,,,,,
204,34.13550815,34,1.0203125,31.49921894,,,,,
205,29.76815296,39,0.903125,35.4760561,,,,,
206,32.8613056,32,0.98359375,30.12034154,,,,,
207,31.5657256,38,0.9484375,34.92130041,,,,,
208,32.18155209,26,0.96484375,26.33532405,,,,,
209,35.49505124,29,1.06171875,28.24822664,,,,,
210,39.47541165,38,1.196875,34.4468286,,,,,
211,35.78002124,29,1.070703125,27.63896155,,,,,
212,27.93958681,27,0.861328125,27.03174949,,,,,
213,37.35610552,36,1.122265625,33.31313825,,,,,
214,29.8500154,22,0.905078125,24.73431277,,,,,
215,33.84305383,29,1.01171875,28.6401844,,,,,
216,37.41372704,38,1.12421875,34.31437016,,,,,
217,40.24442409,44,1.225390625,41.91966963,,,,,
218,35.13228385,39,1.050390625,35.89372611,,,,,
219,29.30642726,39,0.8921875,35.82143426,,,,,
220,35.22020534,26,1.053125,26.49604321,,,,,
221,35.91546737,31,1.075,29.38891435,,,,,
222,35.34541231,33,1.05703125,30.90954924,,,,,
223,37.87112949,33,1.13984375,30.97098041,,,,,
224,29.42238682,32,0.894921875,34.72680736,,,,,
225,41.06175268,30,1.256640625,29.70461202,,,,,
226,33.42471038,44,0.999609375,40.27381277,,,,,
227,33.64125878,27,1.005859375,26.43725109,,,,,
228,41.62093628,28,1.278515625,27.29820418,,,,,
229,26.91314021,27,0.8421875,26.40483904,,,,,
230,35.38288399,40,1.058203125,35.63342857,,,,,
231,30.87193134,31,0.93046875,28.44946718,,,,,
232,32.46637432,33,0.97265625,30.08156109,,,,,
233,28.45518858,35,0.87265625,34.4496026,,,,,
234,34.43696012,32,1.029296875,29.59084368,,,,,
235,33.91005971,33,1.013671875,30.51843238,,,,,
236,37.48274116,37,1.1265625,33.11609769,,,,,
237,27.42124217,25,0.8515625,25.84788156,,,,,
238,30.12328415,28,0.91171875,27.36677766,,,,,
239,38.04071272,30,1.145703125,27.84299994,,,,,
240,33.74902892,34,1.008984375,30.82060051,,,,,
241,35.35790736,38,1.057421875,33.93603754,,,,,
242,35.29538498,32,1.05546875,29.07698107,,,,,
243,31.17642017,30,0.93828125,28.20280385,,,,,
244,28.71471453,31,0.878515625,29.02561402,,,,,
245,33.00126798,34,0.9875,30.69908357,,,,,
246,28.05384504,36,0.863671875,32.27922964,,,,,
247,23.89175917,22,0.77734375,26.13970995,,,,,
248,35.03152151,33,1.047265625,30.18732452,,,,,
249,32.76298625,35,0.980859375,32.01074624,,,,,
250,27.81572205,35,0.858984375,32.01676917,,,,,
251,28.69746662,38,0.878125,33.89485073,,,,,
252,34.3716516,34,1.02734375,30.94992805,,,,,
253,31.47625717,37,0.94609375,32.74088979,,,,,
254,31.61037704,33,0.949609375,29.87384272,,,,,
255,35.63164087,40,1.066015625,35.71028972,,,,,
256,41.32257426,41,1.266796875,42.20242572,,,,,
257,43.18707885,33,1.3421875,30.28425264,,,,,
258,41.28258417,43,1.265234375,41.17930079,,,,,
259,32.22442204,42,0.966015625,6590.655436,,,,,
260,35.30789892,41,1.055859375,50.33585501,,,,,
261,29.83365714,33,0.9046875,33.71607327,,,,,
262,38.34195016,37,1.15625,51.53344083,,,,,
263,24.41167112,30,0.792578125,31.48132968,,,,,
264,26.55442752,29,0.8359375,34.85125041,,,,,
265,39.13153173,39,1.184375,40.65136194,,,,,
266,32.79110526,44,0.981640625,48.84285569,,,,,
267,37.40221052,35,1.123828125,34.57464671,,,,,
268,32.48055511,32,0.973046875,29.96628308,,,,,
269,33.74902893,37,1.008984375,38.69205189,,,,,
270,30.91821985,27,0.931640625,26.63804555,,,,,
271,34.73579231,39,1.03828125,35.72731924,,,,,
272,31.55082969,33,0.948046875,31.17639232,,,,,
273,31.46132421,18,0.945703125,23.65812182,,,,,
274,31.53592765,34,0.94765625,32.94825125,,,,,
275,39.37905981,28,1.193359375,29.0670023,,,,,
276,30.32755196,29,0.916796875,29.68478394,,,,,
277,33.5196166,36,1.00234375,36.0560658,,,,,
278,36.12284482,45,1.081640625,46.58843327,,,,,
