,Predicted Beta,Calculated Beta,Norms,Times,Average Predicted Beta,Average Calculated Beta,Average Norms,Average Times
41,42.50844385,42,0.909294643,70.82573557,,,,
42,42.45942061,33,0.870519241,59.38404942,,,,
43,46.98662588,53,0.900230005,188.3030763,,,,
44,49.32769617,45,0.914020978,81.19136,,,,
45,44.10895115,46,0.933009285,82.32028556,,,,
46,54.0784855,53,1.288405228,179.0687733,,,,
47,54.46134224,52,1.295980026,173.6136997,,,,
48,46.26825158,39,1.090525621,66.39212322,,,,
49,51.37618553,51,1.234329867,148.1159868,,,,
50,50.37380532,51,1.276880925,152.628377,,,,
51,49.44015276,46,0.950018372,84.8788569,,,,
52,49.90244261,47,1.18940722,96.51736569,,,,
53,50.31784196,53,1.058632177,187.7851388,,,,
54,49.00973722,48,1.087009079,110.3497341,,,,
55,50.92829219,40,1.19382849,71.53669786,,,,
56,46.89413811,34,0.994417178,61.81562114,,,,
57,32.7053669,29,0.639942811,54.28373456,,,,
58,53.38253233,55,1.207861727,239.4724588,,,,
59,47.03954364,43,1.082220966,73.17783403,,,,
60,38.80631405,32,0.734294644,59.44926715,,,,
61,42.25636372,37,0.752748131,66.69695878,,,,
62,51.66262851,43,1.117396856,71.46457791,,,,
63,41.56588105,44,0.891700953,76.01278067,,,,
64,43.38499027,42,0.736030067,72.29963875,,,,
65,48.93588223,49,1.01475109,125.9214568,,,,
66,45.68133256,48,0.873998003,108.9529936,,,,
67,33.93676046,33,0.631529404,59.64477038,,,,
68,41.06318437,42,0.704602262,75.08271718,,,,
69,53.38357675,43,1.328259204,77.79466033,,,,
70,51.11260807,51,1.195209067,155.667263,,,,
71,43.79645269,37,0.907297297,65.89998674,,,,
72,48.74535477,56,1.096223569,262.4993448,,,,
73,47.51274142,45,1.0541139,83.53283048,,,,
74,46.1060601,40,0.944258391,69.65384364,,,,
75,52.38934919,55,1.445668067,230.7312617,,,,
76,45.90242792,47,0.999617321,100.9826276,,,,
77,41.85619029,43,0.713103742,70.09885454,,,,
78,43.97252102,31,0.970056155,55.61626983,,,,
79,46.31319202,42,1.014212185,71.38378811,,,,
80,51.64330737,49,1.049554776,122.6572356,,,,
81,54.15003964,50,1.302486714,136.5410054,,,,
82,47.07523633,48,0.909213973,110.7259767,,,,
83,44.27118135,47,0.936036193,96.47580671,,,,
84,45.31044743,47,0.980823539,100.5688787,,,,
