,Predicted Beta,Calculated Beta,Times
175,45.2794359786413,47,88.92834973335266
176,41.01125675681754,42,70.21855592727661
177,31.53977856020454,41,62.60464572906494
178,43.528744106093804,43,75.8793306350708
179,37.64079614728487,36,51.38583779335022
180,46.86314962953382,41,67.51334738731384
181,40.67206679944223,39,69.17346239089966
182,44.374187016375906,44,67.16468596458435
183,46.616131148735775,50,127.17375707626343
184,41.79566774116388,43,75.77958488464355
185,44.4383066627822,48,103.4442207813263
186,43.725826588774794,48,92.89113306999207
187,40.06941328064276,36,51.89391350746155
188,37.08867584208919,45,67.07306623458862
189,43.61649214743253,39,74.19574308395386
190,43.37457969498756,43,61.861753940582275
191,36.96261846544277,43,66.39328169822693
192,48.93146400824517,52,153.109441280365
193,47.81027199545439,46,78.52986669540405
194,37.98105356423018,39,59.778610706329346
195,39.94445705448991,41,61.36512327194214
196,49.36083332600052,50,120.02157473564148
197,43.24182124442559,36,47.87951850891113
198,45.11354682388766,47,81.4259786605835
199,43.36353851435753,47,89.74717545509338
