,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,,EBDD Calc,Kannan Calc
152,134,42.90739297,42.90739297,60,1.787703127,49.40001675,49.40001675,1,1.1875,10199.82456,,,,
153,148,43.34176039,43.34176039,57,1.526515141,49.40001671,49.40001671,1,0.997395833,5682.495589,,,,
154,168,43.11750818,43.11750818,1,1.459288991,49.40001668,49.40001668,1,0.981770833,1613.660075,,,,
155,167,42.52680533,42.52680533,1,1.567770095,49.40001653,49.40001653,1,0.984375,1891.303519,,,,
156,173,42.65024164,42.65024164,1,1.71589053,49.40001656,49.40001656,1,1.03125,1260.80487,,,,
157,127,42.61384244,42.61384244,52,1.622210821,49.4000166,49.4000166,59,1.046875,12776.30876,,,,
158,135,42.40750306,42.40750306,59,1.806843648,49.40001656,49.40001656,53,1.1484375,11469.91561,,,,
159,175,42.4243429,42.4243429,1,1.777346911,49.40001664,49.40001664,1,1.065104167,1163.281209,,,,
160,151,42.85768531,42.85768531,1,1.922971216,49.40001666,49.40001666,58,1.1015625,6754.159299,,,,
161,176,42.52318044,42.52318044,1,1.670386905,49.4000166,49.4000166,1,1.0234375,1522.526354,,,,
162,150,42.27010569,42.27010569,52,1.651120048,49.40001656,49.40001656,57,1.078125,7977.326116,,,,
163,177,42.70425228,42.70425228,1,1.597065491,49.40001655,49.40001655,1,1.106770833,1393.149709,,,,
164,163,42.66384349,42.66384349,53,1.449376958,49.40001654,49.40001654,51,0.921875,5414.665493,,,,
165,169,42.6747452,42.6747452,1,1.405471233,49.40001663,49.40001663,56,1,4587.66935,,,,
166,160,42.23389865,42.23389865,57,1.673537977,49.40001674,49.40001674,1,1.020833333,6200.902884,,,,
167,170,42.44921481,42.44921481,54,1.462616949,49.40001665,49.40001665,1,0.940104167,4665.543053,,,,
168,159,42.67268683,42.67268683,58,1.70218216,49.4000166,49.4000166,1,1.111979167,6500.873765,,,,
169,184,42.96179397,42.96179397,1,1.515444435,49.40001666,49.40001666,1,1.1484375,882.6605055,,,,
170,164,42.4644435,42.4644435,58,1.559750872,49.40001648,49.40001648,1,1.083333333,6340.210884,,,,
171,120,41.90902065,41.90902065,62,1.611295568,49.40001664,49.40001664,55,0.984375,16424.2302,,,,
172,153,42.57541273,42.57541273,57,1.468585768,49.40001657,49.40001657,55,0.927083333,8739.370564,,,,
173,188,42.73978313,42.73978313,1,1.567292631,49.40001662,49.40001662,1,0.966145833,1240.163959,,,,
174,189,42.95071337,42.95071337,1,1.399033466,49.40001661,49.40001661,1,0.953125,1198.397591,,,,
175,174,42.4029479,42.4029479,57,1.522737348,49.40001653,49.40001653,1,0.997395833,5172.229269,,,,
176,179,43.12414524,43.12414524,54,1.40589155,49.40001674,49.40001674,1,1.026041667,4398.033639,,,,
177,178,43.20391656,43.20391656,53,1.419642566,49.40001658,49.40001658,51,0.953125,4933.303956,,,,
178,182,43.26014547,43.26014547,53,1.558085333,49.40001665,49.40001665,1,1.044270833,3795.043529,,,,
179,195,43.11302171,43.11302171,1,1.336408891,49.4000166,49.4000166,1,0.919270833,1187.554084,,,,
180,186,41.95792415,41.95792415,52,1.401058284,49.40001669,49.40001669,1,0.872395833,3545.046315,,,,
181,172,43.28844175,43.28844175,54,1.269119777,49.40001661,49.40001661,52,0.916666667,7540.633087,,,,
182,197,43.38677662,43.38677662,1,1.549020284,49.40001655,49.40001655,1,0.984375,978.1883738,,,,
183,162,42.70643423,42.70643423,60,1.856134429,49.4000166,49.4000166,1,1.1953125,9842.29377,,,,
184,191,42.55223076,42.55223076,1,1.334578804,49.40001665,49.40001665,54,0.84375,3688.384227,,,,
185,171,43.04391536,43.04391536,59,1.711684821,49.40001662,49.40001662,1,1.0703125,8817.627168,,,,
186,165,42.59576552,42.59576552,60,1.393671311,49.40001657,49.40001657,1,0.947916667,10483.3593,,,,
187,196,42.61931902,42.61931902,52,1.891197381,49.4000168,49.4000168,1,1.2109375,2779.515328,,,,
188,187,42.52413066,42.52413066,1,1.507037246,49.40001662,49.40001662,1,0.997395833,5357.912144,,,,
189,181,43.40504293,43.40504293,58,1.636550917,49.40001667,49.40001667,1,1.075520833,6399.428971,,,,
190,190,42.84416421,42.84416421,54,1.318632129,49.40001664,49.40001664,51,0.893229167,4897.869603,,,,
191,185,43.35790069,43.35790069,56,1.340515147,49.40001664,49.40001664,50,0.947916667,5645.306914,,,,
192,180,42.49864606,42.49864606,53,1.466229715,49.40001663,49.40001663,57,0.984375,7402.817134,,,,
193,158,42.18574888,42.18574888,59,1.712921083,49.40001653,49.40001653,55,1.046875,12409.3333,,,,
194,192,43.19601385,43.19601385,56,1.610553311,49.40001671,49.40001671,1,1.1328125,4416.783189,,,,
195,198,42.96671011,42.96671011,52,1.255414112,49.40001652,49.40001652,1,0.859375,2987.6183,,,,
196,194,42.83456399,42.83456399,1,1.537532435,49.40001665,49.40001665,56,1.072916667,4243.450226,,,,
197,183,42.50186056,42.50186056,59,1.672607917,49.40001653,49.40001653,1,1.033854167,7097.918226,,,,
198,193,42.85130331,42.85130331,1,1.635128155,49.4000165,49.4000165,58,1.096354167,5104.137944,,,,
199,199,42.72610425,42.72610425,53,1.602179275,49.40001667,49.40001667,48,0.950520833,3322.984197,,,,
