,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
48,34,22.85306009,27.4373536,43,1.631372397,37.28185142,33.43828439,32.62192725,46,1.158203125,38.72832548,280.2723277,,,
49,58,22.2773439,27.10815276,36,1.59533302,35.53978232,33.43828443,32.62192727,23,1.01328125,33.88238665,108.2646306,,,
50,40,23.08671374,27.57303852,39,1.384062433,31.95345319,33.43828428,32.62192718,27,0.96171875,32.15822496,222.5903122,,,
51,59,23.39282282,27.75413195,36,1.354255716,31.67986402,33.43828434,32.62192722,30,0.983203125,32.87662566,124.2582407,,,
52,13,24.08318786,28.16974377,38,1.288462263,31.03027873,33.4382843,32.62192719,31,0.911328125,30.47324893,448.6901801,,,
53,50,22.96844659,27.50380203,36,1.482227443,34.04446186,33.4382844,32.62192725,32,1.033203125,34.54853994,211.4166892,,,
54,52,22.19800549,27.06331373,43,1.63592221,36.3142102,33.43828431,32.6219272,32,1.074609375,35.9330938,199.5250051,,,
55,44,23.9230758,28.07135453,30,1.284232362,30.72278814,33.43828435,32.62192722,40,0.909765625,30.42100166,241.350157,,,
56,60,23.38940049,27.75209909,38,1.57044368,36.73173618,33.43828423,32.62192715,44,1.040625,34.79671453,130.8685269,,,
57,62,23.06337064,27.55928959,41,1.821667683,42.01379696,33.4382843,32.62192719,41,1.19296875,39.89082822,128.6890337,,,
58,64,22.59821752,27.29038653,32,1.122057085,25.35649008,33.43828446,32.62192729,30,0.780078125,26.08447424,106.7638755,,,
59,65,22.81376889,27.41477253,28,1.216956642,27.76336758,33.43828441,32.62192726,32,0.815234375,27.26003889,103.8682077,,,
60,61,22.3805369,27.16660371,39,1.521867004,34.06020064,33.43828428,32.62192718,45,0.9859375,32.96805841,154.7422426,,,
61,67,22.09476813,27.00509799,25,1.258749932,27.81178788,33.43828426,32.62192717,39,0.910546875,30.44712524,111.6177382,,,
62,69,22.77807533,27.39427919,36,1.198382562,27.29684827,33.43828428,32.62192718,32,0.812109375,27.15554415,108.7598741,,,
63,68,23.03011704,27.53971826,36,1.766733509,40.68807949,33.43828432,32.6219272,45,1.108984375,37.08253484,131.6337759,,,
64,63,22.44416346,27.20271673,33,1.666345772,37.39973689,33.43828425,32.62192716,42,1.10625,36.99110195,164.5691135,,,
65,73,22.46392875,27.21394648,39,1.309371766,29.41363406,33.43828438,32.62192724,29,0.874609375,29.245437,117.128828,,,
66,38,23.33268408,27.71843678,50,1.862841047,43.46508164,33.43828438,32.62192724,36,1.070703125,35.80247558,345.0912845,,,
67,42,21.81231348,26.84900611,35,1.538590732,33.56022336,33.43828426,32.62192717,30,0.931640625,31.15246405,332.278739,,,
68,70,22.76815483,27.38858676,45,1.777565235,40.47188049,33.43828441,32.62192726,36,1.11875,37.40908068,131.1037574,,,
69,66,23.33000009,27.71684504,28,1.052244623,24.54886715,33.43828425,32.62192716,28,0.733984375,24.54317817,176.7703044,,,
70,80,22.89972281,27.46420138,34,1.830301133,41.9133886,33.43828421,32.62192714,36,1.02265625,34.19587034,117.4049656,,,
