,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,EBDD Caluclated Actual,Kannan Calculated Actual
69,140,42.9800795,49.97780787,53,1.204582576,49.40001667,53.5311882,55,0.880208333,6666.627089,,,
70,154,42.97829193,49.97690873,1,1.66221226,49.40001659,53.53118816,1,1.046875,3776.399337,,,
71,117,43.06131648,50.0187791,57,1.577357255,49.40001665,53.53118819,55,0.9921875,13156.61027,,,
72,146,42.99647716,49.9860579,58,1.660654522,49.40001665,53.53118819,1,1.1328125,6499.556129,,,
73,136,43.03452751,50.00525141,58,1.491390193,49.40001662,53.53118818,1,0.9609375,8278.10241,,,
74,163,43.03872855,50.00737215,1,1.589072608,49.40001652,53.53118811,1,0.921875,2447.721083,,,
75,165,42.98611924,49.98084616,1,1.372230677,49.40001663,53.53118818,1,0.947916667,2144.727414,,,
76,156,43.05042597,50.01327848,56,1.455434689,49.40001659,53.53118816,1,0.966145833,4788.620768,,,
77,168,42.99787269,49.98676019,1,1.448996841,49.40001676,53.53118826,1,0.981770833,2379.893933,,,
78,170,43.01298226,49.99437895,1,1.302585666,49.40001663,53.53118818,1,0.940104167,1777.234154,,,
79,167,43.00410623,49.9899017,1,1.541966454,49.40001661,53.53118817,1,0.984375,2912.209455,,,
80,134,43.005614,49.99066217,60,1.843883421,49.40001667,53.53118821,1,1.1875,10457.3546,,,
81,173,42.96219457,49.96881384,1,1.642085173,49.40001653,53.53118812,1,1.03125,1654.450945,,,
82,121,43.01507425,49.99543435,60,1.575282282,49.40001662,53.53118817,1,1.0078125,14153.98447,,,
83,153,42.97070612,49.9730936,55,1.452638527,49.4000167,53.53118822,1,0.927083333,6668.421223,,,
84,161,42.98334055,49.97944828,53,1.243879375,49.40001661,53.53118817,1,0.8828125,4646.483044,,,
85,155,43.03274715,50.00435273,55,1.35717021,49.40001666,53.5311882,54,0.96875,7390.50695,,,
86,151,42.94719479,49.96127416,57,1.759480764,49.40001666,53.5311882,1,1.1015625,8499.873585,,,
87,142,43.07648331,50.0264424,57,1.330023685,49.40001656,53.53118814,1,0.942708333,10935.73823,,,
88,169,42.98193564,49.97874155,1,1.571581986,49.40001648,53.53118809,53,1,3959.331792,,,
89,160,42.98714786,49.98136366,57,1.50271803,49.40001662,53.53118818,1,1.020833333,6547.158464,,,
90,177,42.99715274,49.98639788,1,1.595578385,49.40001662,53.53118817,1,1.106770833,2448.340654,,,
91,172,43.0538858,50.0150258,1,1.310951209,49.40001664,53.53118819,1,0.916666667,4575.587147,,,
92,148,42.99754458,49.98659507,59,1.51238189,49.40001648,53.53118809,1,0.997395833,10751.07849,,,
93,188,43.01943262,49.99763333,1,1.468271639,49.40001657,53.53118815,1,0.966145833,1424.121855,,,
94,181,42.99116977,49.98338722,1,1.682423744,49.40001656,53.53118814,1,1.075520833,3150.694481,,,
95,189,43.02871448,50.00231731,1,1.329739235,49.4000166,53.53118816,1,0.953125,1478.519388,,,
96,171,43.01622298,49.99601391,1,1.668122819,49.4000166,53.53118816,57,1.0703125,5424.281152,,,
97,183,43.07750656,50.02695953,1,1.517072619,49.40001673,53.53118824,1,1.033854167,3708.100641,,,
98,180,43.01882826,49.99732839,1,1.458552244,49.4000166,53.53118816,52,0.984375,4005.299966,,,
99,175,43.04023916,50.00813479,54,1.578360261,49.40001663,53.53118818,1,1.065104167,5590.30932,,,
100,190,43.01515151,49.99547333,1,1.268313448,49.4000166,53.53118816,1,0.893229167,1504.006646,,,
101,185,43.02206518,49.9989617,1,1.426972395,49.40001657,53.53118815,1,0.947916667,2975.685717,,,
102,164,43.0118152,49.9937902,55,1.589824833,49.40001659,53.53118816,54,1.083333333,8593.179994,,,
103,192,43.01105952,49.99340899,1,1.57131799,49.40001655,53.53118813,1,1.1328125,1588.917918,,,
104,178,43.03412667,50.00504907,1,1.345472281,49.40001663,53.53118818,52,0.953125,4861.397096,,,
105,182,43.06293712,50.0195978,1,1.706917384,49.40001673,53.53118824,1,1.044270833,4587.097512,,,
106,186,43.00674555,49.99123291,49,1.391450091,49.40001664,53.53118819,1,0.872395833,3471.208858,,,
