,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated,,
57,56,33.77352762,44.68912261,50,1.505908068,50.85982773,40.59028171,47.6666473,49,1.011111111,41.04128484,3247.638074,,,,,
58,64,33.86264321,44.72543085,47,1.341665084,45.43232605,40.5902817,47.6666473,1,0.855555556,34.72724103,1755.451465,,,,,
59,60,33.81292301,44.70517059,49,1.504096262,50.85789111,40.59028167,47.66664729,45,0.955555556,38.78626917,2912.053879,,,,,
60,57,33.7604933,44.68381398,49,1.409658145,47.59075436,40.59028177,47.66664734,44,0.930555556,37.77151222,3411.758603,,,,,
61,69,33.76638618,44.68621398,45,1.327577132,44.82748212,40.59028165,47.66664728,1,0.880555556,35.74199803,1494.11978,,,,,
62,43,33.78923782,44.69552173,57,1.774320617,59.9529413,40.59028172,47.66664731,51,1.2,48.70833806,5430.069701,,,,,
63,62,33.76317554,44.68490637,52,1.723770699,58.1999727,40.59028178,47.66664734,40,1.102777778,44.76206075,3056.571221,,,,,
64,66,33.72148465,44.66792946,45,1.229921482,41.47477838,40.59028176,47.66664733,47,0.875,35.51649654,2454.994822,,,,,
65,67,33.80699416,44.70275514,46,1.560606446,52.75941301,40.59028179,47.66664734,47,1.077777778,43.74730372,2625.857921,,,,,
66,75,33.75893946,44.68318117,50,1.435462054,48.45967658,40.59028173,47.66664732,1,0.963888889,39.12452156,1952.626097,,,,,
67,72,33.74904574,44.67915202,49,1.327322464,44.79586655,40.59028182,47.66664736,47,0.916666667,37.20775835,2387.413314,,,,,
68,65,33.7968482,44.69862186,49,1.328564656,44.901298,40.5902818,47.66664735,45,0.883333333,35.85474891,3287.201077,,,,,
69,61,33.71601083,44.66570085,51,1.481016299,49.93396158,40.59028173,47.66664731,49,1.019444444,41.37953719,4416.501852,,,,,
70,77,33.76471595,44.68553373,47,1.439573018,48.60677404,40.59028186,47.66664738,46,1,40.59028186,1997.177075,,,,,
71,71,33.76968338,44.68755687,50,1.662119601,56.12925267,40.59028181,47.66664735,49,1.080555556,43.86005453,2989.792674,,,,,
72,74,33.80782935,44.7030954,48,1.261538353,42.64987336,40.59028171,47.66664731,47,0.913888889,37.09500746,2590.304128,,,,,
73,79,33.8317407,44.71283768,48,1.471094871,49.76970022,40.59028173,47.66664732,45,0.880555556,35.7419981,2116.879513,,,,,
74,63,33.77619511,44.69020909,53,1.547435434,52.26648114,40.59028183,47.66664736,47,1.044444444,42.39429434,4642.38297,,,,,
75,81,33.78053825,44.69197811,49,1.405352846,47.47357557,40.59028179,47.66664734,46,0.919444444,37.32050907,2564.863347,,,,,
76,70,33.76797759,44.68686213,51,1.697897124,57.33455203,40.59028175,47.66664733,49,1.041666667,42.2815435,4236.445892,,,,,
77,68,33.77485543,44.68966343,53,1.528231049,51.61578274,40.59028185,47.66664737,50,0.997222222,40.47753106,4687.223427,,,,,
78,85,33.7400113,44.67547306,46,1.33430754,45.01955148,40.59028183,47.66664736,40,0.866666667,35.17824427,2163.1159,,,,,
79,82,33.76361427,44.68508505,48,1.604116885,54.16078375,40.59028178,47.66664734,51,1.086111111,44.08555604,2839.128344,,,,,
80,84,33.82633471,44.71063496,50,1.505566811,50.92780688,40.59028168,47.66664729,43,0.969444444,39.35002306,2687.637306,,,,,
81,78,33.71823564,44.66660665,50,1.503445494,50.69352944,40.59028174,47.66664732,49,1.102777778,44.76206071,3634.381104,,,,,
82,83,33.81275228,44.70510103,50,1.543128433,52.17741944,40.59028184,47.66664737,45,1.036111111,42.05604201,3242.854537,,,,,
83,73,33.76271249,44.68471778,52,1.512956587,51.08151826,40.59028174,47.66664732,48,0.944444444,38.33526607,4359.053344,,,,,
84,80,33.74247273,44.67647537,53,1.543542618,52.0829447,40.59028193,47.66664741,1,1.011111111,41.04128506,3623.744009,,,,,
85,93,33.73230007,44.67233311,1,1.349016731,45.50543717,40.59028171,47.6666473,43,0.891666667,36.1930012,1756.639456,,,,,
86,87,33.7071342,44.662087,49,1.474997005,49.71792199,40.59028182,47.66664736,46,0.983333333,39.91377711,2467.117521,,,,,
87,91,33.86338352,44.72573257,47,1.684578386,57.04552395,40.59028177,47.66664733,48,1.027777778,41.71778961,2163.017153,,,,,
88,94,33.8140047,44.70561128,42,1.184689515,40.05909683,40.59028184,47.66664737,46,0.805555556,32.69772706,2217.871426,,,,,
89,86,33.73379473,44.67294171,51,1.415994974,47.76688379,40.59028166,47.66664728,49,0.977777778,39.68827541,3318.189816,,,,,
90,76,33.81059797,44.70422334,54,1.568818364,53.04268699,40.59028171,47.66664731,50,1.027777778,41.71778954,5322.642254,,,,,
91,89,33.7348203,44.67335931,49,1.373580889,46.33750446,40.59028172,47.66664731,45,0.936111111,37.99701372,3438.639537,,,,,
92,92,33.74412034,44.67714629,53,1.50240146,50.69721567,40.59028162,47.66664726,1,1.036111111,42.05604179,2986.308955,,,,,
93,90,33.82614564,44.71055792,50,1.50378864,50.86737355,40.59028174,47.66664732,48,1.027777778,41.71778958,3488.595408,,,,,
94,97,33.86088559,44.72471452,49,1.557839646,52.74983002,40.59028167,47.66664729,46,1.077777778,43.74730359,2408.144304,,,,,
95,96,33.77178391,44.6884124,50,1.627966915,54.97934687,40.59028177,47.66664733,47,1.072222222,43.52180211,2540.693813,,,,,
96,99,33.76801052,44.68687554,50,1.641830268,55.44134176,40.59028181,47.66664735,46,1.025,41.60503886,2538.109107,,,,,
97,88,33.75336006,44.68090896,50,1.559052688,52.62326673,40.59028179,47.66664735,51,1.033333333,41.94329117,4434.43228,,,,,
98,95,33.8206276,44.70830963,53,1.702068375,57.56502066,40.59028167,47.66664729,47,1.113888889,45.21306375,3171.064666,,,,,
99,98,33.76678559,44.68637665,52,1.480046163,49.97640145,40.59028172,47.66664731,44,0.972222222,39.46277389,2773.331698,,,,,
100,100,33.7893547,44.69556934,50,1.68146468,56.81560649,40.59028167,47.66664728,1,1.102777778,44.76206063,2708.927003,,,,,
101,105,33.72771961,44.67046807,50,1.603376099,54.0782195,40.59028178,47.66664734,1,1.041666667,42.28154353,2616.142752,,,,,
102,114,33.73234077,44.67234968,1,1.441579015,48.62783458,40.59028171,47.66664731,1,0.95,38.56076762,968.2701197,,,,,
103,104,33.73258428,44.67244884,43,1.285413408,43.36031612,40.59028183,47.66664736,49,0.855555556,34.72724114,2857.895939,,,,,
104,102,33.7449188,44.67747144,48,1.380437166,46.58274008,40.59028181,47.66664735,48,1.005555556,40.81578339,3354.649897,,,,,
105,101,33.75240162,44.68051865,52,1.531063745,51.67707843,40.59028167,47.66664729,50,0.991666667,40.25202934,3619.574785,,,,,
106,103,33.79294122,44.69703031,50,1.391346166,47.0176792,40.5902817,47.6666473,49,0.872222222,35.4037457,3859.932395,,,,,
107,115,33.73232314,44.67234251,49,1.51938922,51.25252814,40.59028174,47.66664732,44,1.05,42.61979583,2062.616724,,,,,
108,122,33.71221561,44.66415571,1,1.38922531,46.83386318,40.59028164,47.66664727,43,0.933333333,37.88426285,1205.525889,,,,,
109,109,33.70096318,44.65957479,49,1.643032357,55.37177297,40.59028168,47.66664729,50,1.072222222,43.52180201,2986.329565,,,,,
110,119,33.83145356,44.71272068,47,1.339885817,45.33028479,40.59028178,47.66664734,41,0.925,37.54601065,1928.343358,,,,,
111,106,33.75334857,44.68090428,52,1.643014009,55.45722455,40.59028176,47.66664733,48,1.036111111,42.05604193,3952.105244,,,,,
112,112,33.71200918,44.66407167,50,1.302393853,43.90631353,40.59028169,47.6666473,1,0.886111111,35.9674996,2935.218078,,,,,
113,118,33.91214055,44.74560738,49,1.365167143,46.29574003,40.59028181,47.66664735,44,0.869444444,35.290995,2288.963952,,,,,
114,120,33.83060969,44.71237684,48,1.515861866,51.28253113,40.59028181,47.66664735,1,1.002777778,40.7030326,2099.748854,,,,,
115,110,33.80102892,44.70032498,46,1.41986449,47.99288069,40.59028188,47.66664739,52,0.947222222,38.44801699,3387.812579,,,,,
116,108,33.81391486,44.70557468,53,1.440255607,48.70068047,40.59028174,47.66664732,49,0.972222222,39.4627739,4056.54019,,,,,
117,123,33.79898646,44.69949292,46,1.36528973,46.1454091,40.59028179,47.66664734,43,0.938888889,38.10976457,1755.606585,,,,,
118,107,33.81844379,44.70741988,56,1.717300935,58.07644514,40.59028174,47.66664732,52,1.119444444,45.43856537,4457.959331,,,,,
119,111,33.72498819,44.66935594,53,1.827499827,61.63241008,40.59028175,47.66664733,49,1.1,44.64930993,3607.22707,,,,,
120,117,33.81853979,44.70745899,51,1.598744603,54.06720797,40.5902817,47.6666473,49,1,40.5902817,2694.501118,,,,,
121,113,33.75581123,44.68190719,53,1.499379722,50.61277886,40.59028174,47.66664732,50,1.036111111,42.05604191,3696.283209,,,,,
122,116,33.8431121,44.71747136,52,1.465441884,49.59511396,40.59028174,47.66664732,50,0.975,39.5755247,3287.600112,,,,,
123,124,33.81088362,44.70433972,50,1.258095497,42.53732043,40.59028177,47.66664733,49,0.897222222,36.4185028,2140.519945,,,,,
124,121,33.76400408,44.68524381,51,1.609137377,54.33092096,40.59028174,47.66664732,50,1.013888889,41.15403566,2758.748002,,,,,
