,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,,,,EBDD Calc,Kannan Calc
68,67,45.30223059,46.7089598,57,1.429133532,52.88128891,51.93869548,53,1.004557292,3459.561742,,,,,,
69,78,45.29551925,46.70485378,54,1.555274054,52.88128892,51.9386955,55,1.0703125,2070.342467,,,,,,
70,71,45.27865549,46.69453923,56,1.694731535,52.88128897,51.93869553,59,1.094401042,3125.526677,,,,,,
71,85,45.34194984,46.73327289,50,1.040621949,52.88128904,51.93869559,48,0.753255208,1120.787629,,,,,,
72,76,45.36521487,46.74752409,57,1.586521741,52.88128884,51.93869543,56,1.001302083,2716.257651,,,,,,
73,44,45.3515113,46.73912894,60,1.519273984,52.88128891,51.93869549,54,0.955729167,6569.512226,,,,,,
74,73,45.41151009,46.7759049,58,1.431430279,52.88128905,51.93869559,58,0.947265625,3475.711475,,,,,,
75,70,45.29711711,46.70583131,59,1.775070969,52.88128883,51.93869542,57,1.064453125,3837.786073,,,,,,
76,83,45.21779247,46.65734554,47,1.397261213,52.88128895,51.93869552,52,1.000651042,2087.80548,,,,,,
77,94,45.3835412,46.75875531,48,1.185703739,52.88128875,51.93869536,43,0.848307292,808.440618,,,,,,
78,66,45.33299646,46.72779041,55,1.309191955,52.88128886,51.93869545,54,0.904947917,4704.90272,,,,,,
79,34,45.29601047,46.70515429,64,1.679548694,52.88128887,51.93869546,59,1.115234375,9797.485795,,,,,,
80,84,45.39619197,46.766511,50,1.36541699,52.8812889,51.93869547,58,0.921875,2424.264607,,,,,,
81,50,45.34856052,46.73732156,63,1.557699321,52.88128891,51.93869548,53,1.018880208,7065.005919,,,,,,
82,52,45.42550297,46.78448894,57,1.585912084,52.88128889,51.93869547,59,1.034505208,6714.774689,,,,,,
83,79,45.35327208,46.74020749,58,1.604351569,52.88128893,51.9386955,53,1.000651042,3335.611419,,,,,,
84,98,45.3522535,46.73958356,51,1.236372678,52.88128894,51.93869551,45,0.897135417,1090.962032,,,,,,
85,81,45.33198363,46.72717029,50,1.521056473,52.88128898,51.93869554,58,0.9921875,3702.091243,,,,,,
86,93,45.3974906,46.76730726,57,1.526658079,52.88128899,51.93869555,51,0.959635417,2074.793052,,,,,,
87,95,45.38021256,46.75671502,53,1.638690908,52.88128895,51.93869552,54,1.077473958,1950.124918,,,,,,
88,102,45.35006042,46.73824024,49,1.349426773,52.88128887,51.93869545,50,0.964192708,1265.952347,,,,,,
89,82,45.37752711,46.75506909,58,1.587035556,52.8812889,51.93869548,57,1.095052083,3814.000614,,,,,,
90,87,45.34498956,46.73513448,58,1.546518637,52.88128889,51.93869547,46,1.016276042,3114.792527,,,,,,
91,86,45.37440684,46.75315677,55,1.395238475,52.88128897,51.93869553,51,1.00390625,3357.310755,,,,,,
92,62,45.33874646,46.73131122,62,1.712584378,52.88128892,51.93869549,57,1.141276042,7431.920685,,,,,,
93,90,45.27503686,46.69232644,52,1.545166145,52.88128883,51.93869542,56,1.009114583,3054.167055,,,,,,
94,91,45.3062643,46.71142794,60,1.583112918,52.88128884,51.93869543,50,1.1015625,3108.398398,,,,,,
95,104,45.28738209,46.69987628,55,1.285783993,52.88128892,51.93869549,47,0.840494792,1795.43908,,,,,,
96,101,45.28886569,46.70078373,57,1.528737208,52.88128906,51.9386956,53,1.02734375,2441.506378,,,,,,
97,105,45.45252715,46.80107479,54,1.339650976,52.88128896,51.93869552,55,0.9140625,2238.049856,,,,,,
98,88,45.28276914,46.69705494,56,1.767297818,52.88128904,51.93869559,59,1.095052083,3801.268749,,,,,,
99,100,45.35442037,46.74091089,50,1.560462338,52.88128892,51.93869549,53,1.054036458,2782.448209,,,,,,
100,106,45.30873135,46.71293758,55,1.413504044,52.8812889,51.93869548,52,1.061197917,2337.382277,,,,,,
101,110,45.31177633,46.71480099,49,1.366270082,52.88128891,51.93869548,54,0.962890625,1703.279368,,,,,,
102,103,45.39462094,46.76554774,56,1.282931723,52.88128892,51.93869549,51,0.883463542,2624.795972,,,,,,
103,108,45.34002286,46.73209284,58,1.461523184,52.88128888,51.93869546,51,1.029296875,2420.813438,,,,,,
104,114,45.28397006,46.69778941,52,1.200288512,52.88128901,51.93869556,48,0.863932292,2046.240355,,,,,,
105,96,45.32941119,46.72559534,60,1.583837748,52.88128889,51.93869547,53,1.050130208,4478.77407,,,,,,
106,112,45.38100279,46.75719938,57,1.28193777,52.88128886,51.93869545,53,0.930338542,2582.784841,,,,,,
107,119,45.40387865,46.77122448,55,1.421762329,52.88128903,51.93869558,50,0.945963542,1861.287941,,,,,,
108,92,45.31984176,46.71973732,60,1.477581356,52.88128901,51.93869556,55,0.995442708,5043.352927,,,,,,
109,89,45.31017328,46.71381996,59,1.426061057,52.88128889,51.93869547,59,1.041015625,5162.256511,,,,,,
110,107,45.30771645,46.71231653,58,1.442263985,52.8812888,51.9386954,58,0.996744792,3647.487988,,,,,,
111,99,45.3406175,46.73245698,61,1.591411655,52.88128892,51.9386955,57,0.992838542,4340.294276,,,,,,
112,116,45.34640614,46.73600206,56,1.590053184,52.88128884,51.93869543,56,1.098958333,2359.810439,,,,,,
